27-02-26 13:06:53: {'temps': [0.015, 0.596], 'freqs': [20.0, 20.0], 'analog': {'values': [3.53, 3.53, 0.015, 0.596], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)} 41 град.
27-02-26 13:21:54: {'temps': [0.005, 0.557], 'freqs': [20.0, 20.0], 'analog': {'values': [3.555, 3.53, 0.005, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)} 44 град.
27-02-26 13:36:55: {'temps': [0.01, 0.527], 'freqs': [20.0, 20.0], 'analog': {'values': [3.481, 3.462, 0.01, 0.527], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)} 46 град.
27-02-26 13:51:56: {'temps': [0.005, 0.503], 'freqs': [20.0, 20.0], 'analog': {'values': [3.462, 3.535, 0.005, 0.503], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)} 47 град.
27-02-26 14:06:57: {'temps': [0.01, 0.493], 'freqs': [20.0, 20.0], 'analog': {'values': [3.477, 3.501, 0.01, 0.493], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)} 49 град.
27-02-26 14:21:58: {'temps': [0.01, 0.493], 'freqs': [20.0, 20.0], 'analog': {'values': [3.447, 3.423, 0.01, 0.493], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)} 49 град.
27-02-26 14:36:59: {'temps': [0.005, 0.488], 'freqs': [20.0, 20.0], 'analog': {'values': [3.457, 3.472, 0.005, 0.488], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)} 49 град.
27-02-26 14:52:00: {'temps': [0.01, 0.503], 'freqs': [20.0, 20.0], 'analog': {'values': [3.589, 3.613, 0.01, 0.503], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)} 49 град.
27-02-26 15:07:00: {'temps': [0.01, 0.488], 'freqs': [20.0, 20.0], 'analog': {'values': [3.481, 3.511, 0.01, 0.488], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)} 49 град.
27-02-26 15:49:04: {'temps': [0.01, 0.493], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.143, 1.133, 0.01, 0.493], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
