04-03-26 16:02:54: {'temps': [218.56171615378938, 0.044388778284110315], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.462, 1.23, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [137.1390631655296, 0.04098910433542636], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.457, 1.226, 0.005, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [224.08134678175313, 0.040686760705917584], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.491, 1.226, 0.0, 0.571], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [142.4222963585868, 0.044388778284110315], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.501, 1.23, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [211.24732058026757, 0.04098910433542636], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.423, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [219.50846457246857, 0.04098910433542636], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.467, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [214.79518928914703, 0.04085409557787171], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.442, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [216.6743593594532, 0.04085409557787171], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.452, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [137.1390631655296, 0.04085409557787171], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.457, 1.226, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [215.7337509837964, 0.044388778284110315], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.447, 1.23, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [213.1109358749169, 0.0363968197330104], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.433, 1.221, 0.0, 0.576], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [218.56171615378938, 0.04098910433542636], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.462, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [215.7337509837964, 0.04453546795428264], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.447, 1.23, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [138.3310274205408, 0.04085409557787171], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.467, 1.226, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [217.6170144161176, 0.04098910433542636], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.457, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [143.63696089066147, 0.04453546795428264], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.511, 1.23, 0.005, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [141.81689877525378, 0.04098910433542636], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.496, 1.226, 0.005, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [221.4081014528495, 0.04221629513892637], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.477, 1.226, 0.0, 0.527], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [213.1109358749169, 0.04085409557787171], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.433, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [215.7337509837964, 0.04085409557787171], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.447, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [215.7337509837964, 0.04453546795428264], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.447, 1.23, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [215.7337509837964, 0.04085409557787171], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.447, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [218.56171615378938, 0.044388778284110315], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.462, 1.23, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [219.50846457246857, 0.04098910433542636], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.467, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [138.92894423075072, 0.0366960294826168], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.472, 1.221, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [177.4347485306743, 0.04085409557787171], 'freqs': [-1.0, 20.0], 'analog': {'values': [3.774, 1.226, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [280.70150791125957, 0.04085409557787171], 'freqs': [-1.0, 20.0], 'analog': {'values': [3.77, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [181.5167542911444, 0.04085409557787171], 'freqs': [-1.0, 20.0], 'analog': {'values': [3.804, 1.226, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [282.6340646653162, 0.04085409557787171], 'freqs': [-1.0, 20.0], 'analog': {'values': [3.779, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [289.99467957774425, 0.044388778284110315], 'freqs': [-1.0, 20.0], 'analog': {'values': [3.813, 1.23, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [279.6307306235276, 0.04085409557787171], 'freqs': [-1.0, 20.0], 'analog': {'values': [3.765, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [283.71057265986923, 0.04098910433542636], 'freqs': [-1.0, 20.0], 'analog': {'values': [3.784, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [288.0370714481561, 0.04085409557787171], 'freqs': [-1.0, 20.0], 'analog': {'values': [3.804, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [171.0001186745191, 0.044388778284110315], 'freqs': [-1.0, 20.0], 'analog': {'values': [3.726, 1.23, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
